,Unnamed: 0,Unnamed: 0.1,County,fips_code,State,fips_state,fips_county,County_Crime_Rate,fips_code.1,County_Population,County_Total_Crimes,Areaname,STCOU,county_area,County_Population_Density,State_Population,state_area,State_Population_Density,State_Crime_Rate,State_Total_Crimes
37,37,2404,York,45091,South Carolina,45,91,160,45091,228706,368,"York, SC",45091,680.6,336.03585072,4679230,30060.72,155.659278953,0.281397118898,8459
38,38,2470,Yankton,46135,South Dakota,46,135,57,46135,22709,13,"Yankton, SD",46135,521.16,43.5739504183,767304,55060.3,13.9357032199,0.0117507532651,647
39,39,2567,Wilson,47189,Tennessee,47,189,165,47189,115021,190,"Wilson, TN",47189,570.83,201.497818965,6396934,41105.78,155.621277592,0.422787257656,17379
40,40,2822,Zavala,48507,Texas,48,507,75,48507,11923,9,"Zavala, TX",48507,1297.41,9.18984746533,25636712,242770.64,105.600545437,0.13031229806,31636
41,41,2852,Weber,49057,Utah,49,57,75,49057,235698,177,"Weber, UT",49057,576.08,409.141091515,2806034,77707.31,36.1102964444,0.0265354700864,2062
42,42,2867,Windsor,50027,Vermont,50,27,86,50027,56732,49,"Windsor, VT",50027,969.34,58.5264200384,626431,9216.67,67.9671725254,0.0666184207528,614
43,43,2963,York,51199,Virginia,51,199,40,51199,66246,27,"York, VA",51199,104.78,632.238976904,8089467,38545.88,209.865931197,0.177450871533,6840
44,44,3044,Yakima,53077,Washington,53,77,213,53077,247047,528,"Yakima, WA",53077,4295.4,57.5143176421,6830038,66455.55,102.776036012,0.141974598058,9435
45,45,3100,Wyoming,54109,West Virginia,54,109,83,54109,23826,20,"Wyoming, WV",54109,499.45,47.7044749224,1855364,24038.21,77.1839500529,0.0942665864056,2266
46,46,3173,Wood,55141,Wisconsin,55,141,28,55141,75979,22,"Wood, WI",55141,793.12,95.7976094412,5711767,54157.87,105.465133692,0.152277037483,8247
47,47,3197,Weston,56045,Wyoming,56,45,82,56045,7266,6,"Weston, WY",56045,2398.09,3.02991130441,568158,97093.14,5.8516801496,0.00591184917905,574
