,Areaname,STCOU,LND110210D
757,"Lake, IN",18089,498.96
758,"LaPorte, IN",18091,598.3
759,"Lawrence, IN",18093,449.17
760,"Madison, IN",18095,451.92
761,"Marion, IN",18097,396.3
762,"Marshall, IN",18099,443.63
763,"Martin, IN",18101,335.74
764,"Miami, IN",18103,373.84
765,"Monroe, IN",18105,394.51
766,"Montgomery, IN",18107,504.61
767,"Morgan, IN",18109,403.97
768,"Newton, IN",18111,401.76
769,"Noble, IN",18113,410.84
770,"Ohio, IN",18115,86.14
771,"Orange, IN",18117,398.39
772,"Owen, IN",18119,385.29
773,"Parke, IN",18121,444.66
774,"Perry, IN",18123,381.73
775,"Pike, IN",18125,334.24
776,"Porter, IN",18127,418.15
777,"Posey, IN",18129,409.57
778,"Pulaski, IN",18131,433.65
779,"Putnam, IN",18133,480.53
780,"Randolph, IN",18135,452.38
781,"Ripley, IN",18137,446.43
782,"Rush, IN",18139,408.12
783,"St. Joseph, IN",18141,457.85
784,"Scott, IN",18143,190.4
785,"Shelby, IN",18145,411.15
786,"Spencer, IN",18147,396.74
787,"Starke, IN",18149,309.13
788,"Steuben, IN",18151,308.94
789,"Sullivan, IN",18153,447.14
790,"Switzerland, IN",18155,220.63
791,"Tippecanoe, IN",18157,499.81
792,"Tipton, IN",18159,260.54
793,"Union, IN",18161,161.22
794,"Vanderburgh, IN",18163,233.48
795,"Vermillion, IN",18165,256.88
796,"Vigo, IN",18167,403.31
797,"Wabash, IN",18169,412.43
798,"Warren, IN",18171,364.68
799,"Warrick, IN",18173,384.82
800,"Washington, IN",18175,513.73
801,"Wayne, IN",18177,401.74
802,"Wells, IN",18179,368.09
803,"White, IN",18181,505.13
804,"Whitley, IN",18183,335.57
805,IOWA,19000,55857.13
806,"Adair, IA",19001,569.27
807,"Adams, IA",19003,423.44
808,"Allamakee, IA",19005,639.08
809,"Appanoose, IA",19007,497.29
810,"Audubon, IA",19009,442.96
811,"Benton, IA",19011,716.27
812,"Black Hawk, IA",19013,565.77
813,"Boone, IA",19015,571.57
814,"Bremer, IA",19017,435.48
815,"Buchanan, IA",19019,571.02
816,"Buena Vista, IA",19021,574.92
817,"Butler, IA",19023,580.13
818,"Calhoun, IA",19025,569.97
819,"Carroll, IA",19027,569.44
820,"Cass, IA",19029,564.27
821,"Cedar, IA",19031,579.44
822,"Cerro Gordo, IA",19033,568.31
823,"Cherokee, IA",19035,576.91
824,"Chickasaw, IA",19037,504.38
825,"Clarke, IA",19039,431.17
826,"Clay, IA",19041,567.24
827,"Clayton, IA",19043,778.54
828,"Clinton, IA",19045,694.92
829,"Crawford, IA",19047,714.19
830,"Dallas, IA",19049,588.45
831,"Davis, IA",19051,502.19
832,"Decatur, IA",19053,531.88
833,"Delaware, IA",19055,577.76
834,"Des Moines, IA",19057,416.12
835,"Dickinson, IA",19059,380.61
836,"Dubuque, IA",19061,608.31
837,"Emmet, IA",19063,395.88
838,"Fayette, IA",19065,730.81
839,"Floyd, IA",19067,500.63
840,"Franklin, IA",19069,581.97
841,"Fremont, IA",19071,511.15
842,"Greene, IA",19073,569.57
843,"Grundy, IA",19075,501.86
844,"Guthrie, IA",19077,590.62
845,"Hamilton, IA",19079,576.75
846,"Hancock, IA",19081,571.01
847,"Hardin, IA",19083,569.31
848,"Harrison, IA",19085,696.85
849,"Henry, IA",19087,434.33
850,"Howard, IA",19089,473.25
851,"Humboldt, IA",19091,434.35
852,"Ida, IA",19093,431.51
853,"Iowa, IA",19095,586.46
854,"Jackson, IA",19097,636.04
855,"Jasper, IA",19099,730.42
856,"Jefferson, IA",19101,435.51
857,"Johnson, IA",19103,614.04
858,"Jones, IA",19105,575.62
859,"Keokuk, IA",19107,579.18
860,"Kossuth, IA",19109,972.72
861,"Lee, IA",19111,517.52
862,"Linn, IA",19113,716.88
863,"Louisa, IA",19115,401.77
864,"Lucas, IA",19117,430.59
865,"Lyon, IA",19119,587.65
866,"Madison, IA",19121,561.01
867,"Mahaska, IA",19123,570.86
868,"Marion, IA",19125,554.53
869,"Marshall, IA",19127,572.5
870,"Mills, IA",19129,437.44
871,"Mitchell, IA",19131,469.13
872,"Monona, IA",19133,694.07
873,"Monroe, IA",19135,433.72
874,"Montgomery, IA",19137,424.1
875,"Muscatine, IA",19139,437.47
876,"O'Brien, IA",19141,573.04
877,"Osceola, IA",19143,398.68
878,"Page, IA",19145,534.94
879,"Palo Alto, IA",19147,563.84
880,"Plymouth, IA",19149,862.89
881,"Pocahontas, IA",19151,577.24
882,"Polk, IA",19153,573.8
883,"Pottawattamie, IA",19155,950.28
884,"Poweshiek, IA",19157,584.93
885,"Ringgold, IA",19159,535.5
886,"Sac, IA",19161,575.01
887,"Scott, IA",19163,458.09
888,"Shelby, IA",19165,590.78
889,"Sioux, IA",19167,768.33
890,"Story, IA",19169,572.82
891,"Tama, IA",19171,721.01
892,"Taylor, IA",19173,531.9
893,"Union, IA",19175,423.65
894,"Van Buren, IA",19177,484.79
895,"Wapello, IA",19179,431.83
896,"Warren, IA",19181,569.83
897,"Washington, IA",19183,568.84
898,"Wayne, IA",19185,525.44
899,"Webster, IA",19187,715.62
900,"Winnebago, IA",19189,400.49
901,"Winneshiek, IA",19191,689.87
902,"Woodbury, IA",19193,872.83
903,"Worth, IA",19195,400.12
904,"Wright, IA",19197,580.42
905,KANSAS,20000,81758.72
906,"Allen, KS",20001,500.3
907,"Anderson, KS",20003,579.65
908,"Atchison, KS",20005,431.17
909,"Barber, KS",20007,1134.07
910,"Barton, KS",20009,895.4
911,"Bourbon, KS",20011,635.47
912,"Brown, KS",20013,570.87
913,"Butler, KS",20015,1429.86
914,"Chase, KS",20017,773.06
915,"Chautauqua, KS",20019,638.88
916,"Cherokee, KS",20021,587.57
917,"Cheyenne, KS",20023,1019.89
918,"Clark, KS",20025,974.63
919,"Clay, KS",20027,645.3
920,"Cloud, KS",20029,715.34
921,"Coffey, KS",20031,626.95
922,"Comanche, KS",20033,788.3
923,"Cowley, KS",20035,1125.75
924,"Crawford, KS",20037,589.76
925,"Decatur, KS",20039,893.52
926,"Dickinson, KS",20041,847.07
927,"Doniphan, KS",20043,393.41
928,"Douglas, KS",20045,455.87
929,"Edwards, KS",20047,621.89
930,"Elk, KS",20049,644.27
931,"Ellis, KS",20051,899.91
932,"Ellsworth, KS",20053,715.85
933,"Finney, KS",20055,1301.97
934,"Ford, KS",20057,1098.27
935,"Franklin, KS",20059,571.76
936,"Geary, KS",20061,384.62
937,"Gove, KS",20063,1071.67
938,"Graham, KS",20065,898.52
939,"Grant, KS",20067,574.8
940,"Gray, KS",20069,868.87
941,"Greeley, KS",20071,778.45
942,"Greenwood, KS",20073,1143.3
943,"Hamilton, KS",20075,996.51
944,"Harper, KS",20077,801.27
945,"Harvey, KS",20079,539.75
946,"Haskell, KS",20081,577.52
947,"Hodgeman, KS",20083,859.99
948,"Jackson, KS",20085,656.22
949,"Jefferson, KS",20087,532.57
950,"Jewell, KS",20089,909.78
951,"Johnson, KS",20091,473.38
952,"Kearny, KS",20093,870.54
953,"Kingman, KS",20095,863.36
954,"Kiowa, KS",20097,722.64
955,"Labette, KS",20099,645.3
956,"Lane, KS",20101,717.46
957,"Leavenworth, KS",20103,462.83
958,"Lincoln, KS",20105,719.4
959,"Linn, KS",20107,594.06
960,"Logan, KS",20109,1072.99
961,"Lyon, KS",20111,847.47
962,"McPherson, KS",20113,898.27
963,"Marion, KS",20115,944.29
964,"Marshall, KS",20117,900.18
965,"Meade, KS",20119,978.09
966,"Miami, KS",20121,575.66
967,"Mitchell, KS",20123,701.79
968,"Montgomery, KS",20125,643.53
969,"Morris, KS",20127,695.28
970,"Morton, KS",20129,729.73
971,"Nemaha, KS",20131,717.43
972,"Neosho, KS",20133,571.47
973,"Ness, KS",20135,1074.75
974,"Norton, KS",20137,878.13
975,"Osage, KS",20139,705.52
976,"Osborne, KS",20141,892.5
977,"Ottawa, KS",20143,720.73
978,"Pawnee, KS",20145,754.26
979,"Phillips, KS",20147,885.88
980,"Pottawatomie, KS",20149,841.02
981,"Pratt, KS",20151,735.05
982,"Rawlins, KS",20153,1069.42
983,"Reno, KS",20155,1255.35
984,"Republic, KS",20157,717.37
985,"Rice, KS",20159,726.24
986,"Riley, KS",20161,609.77
987,"Rooks, KS",20163,890.53
988,"Rush, KS",20165,717.76
989,"Russell, KS",20167,886.26
990,"Saline, KS",20169,720.23
991,"Scott, KS",20171,717.54
992,"Sedgwick, KS",20173,997.51
993,"Seward, KS",20175,639.5
994,"Shawnee, KS",20177,544.02
995,"Sheridan, KS",20179,895.96
996,"Sherman, KS",20181,1056.07
997,"Smith, KS",20183,895.47
998,"Stafford, KS",20185,792.05
999,"Stanton, KS",20187,680.35
1000,"Stevens, KS",20189,727.29
1001,"Sumner, KS",20191,1181.94
1002,"Thomas, KS",20193,1074.69
1003,"Trego, KS",20195,889.48
1004,"Wabaunsee, KS",20197,794.3
1005,"Wallace, KS",20199,913.65
1006,"Washington, KS",20201,894.76
1007,"Wichita, KS",20203,718.57
1008,"Wilson, KS",20205,570.42
1009,"Woodson, KS",20207,497.82
1010,"Wyandotte, KS",20209,151.6
1011,KENTUCKY,21000,39486.34
1012,"Adair, KY",21001,405.28
1013,"Allen, KY",21003,344.34
1014,"Anderson, KY",21005,201.83
1015,"Ballard, KY",21007,246.66
1016,"Barren, KY",21009,487.54
1017,"Bath, KY",21011,278.79
1018,"Bell, KY",21013,359.0
1019,"Boone, KY",21015,246.36
1020,"Bourbon, KY",21017,289.72
1021,"Boyd, KY",21019,159.86
1022,"Boyle, KY",21021,180.17
1023,"Bracken, KY",21023,205.61
1024,"Breathitt, KY",21025,492.41
1025,"Breckinridge, KY",21027,567.17
1026,"Bullitt, KY",21029,297.02
1027,"Butler, KY",21031,426.09
1028,"Caldwell, KY",21033,344.79
1029,"Calloway, KY",21035,385.02
1030,"Campbell, KY",21037,151.31
1031,"Carlisle, KY",21039,189.43
1032,"Carroll, KY",21041,128.57
1033,"Carter, KY",21043,409.5
1034,"Casey, KY",21045,444.23
1035,"Christian, KY",21047,717.5
1036,"Clark, KY",21049,252.46
1037,"Clay, KY",21051,469.25
1038,"Clinton, KY",21053,197.25
1039,"Crittenden, KY",21055,359.95
1040,"Cumberland, KY",21057,305.18
1041,"Daviess, KY",21059,458.35
1042,"Edmonson, KY",21061,302.88
1043,"Elliott, KY",21063,234.32
1044,"Estill, KY",21065,253.08
1045,"Fayette, KY",21067,283.65
1046,"Fleming, KY",21069,348.54
1047,"Floyd, KY",21071,393.35
1048,"Franklin, KY",21073,207.75
1049,"Fulton, KY",21075,205.5
1050,"Gallatin, KY",21077,101.23
1051,"Garrard, KY",21079,230.08
1052,"Grant, KY",21081,257.97
1053,"Graves, KY",21083,551.74
1054,"Grayson, KY",21085,496.7
1055,"Green, KY",21087,286.03
1056,"Greenup, KY",21089,344.4
1057,"Hancock, KY",21091,187.65
1058,"Hardin, KY",21093,623.28
1059,"Harlan, KY",21095,465.83
1060,"Harrison, KY",21097,306.36
1061,"Hart, KY",21099,412.09
1062,"Henderson, KY",21101,436.67
1063,"Henry, KY",21103,286.28
1064,"Hickman, KY",21105,242.27
1065,"Hopkins, KY",21107,542.0
1066,"Jackson, KY",21109,345.2
1067,"Jefferson, KY",21111,380.42
1068,"Jessamine, KY",21113,172.12
1069,"Johnson, KY",21115,261.95
1070,"Kenton, KY",21117,160.25
1071,"Knott, KY",21119,351.52
1072,"Knox, KY",21121,386.3
1073,"Larue, KY",21123,261.52
1074,"Laurel, KY",21125,433.95
1075,"Lawrence, KY",21127,415.6
1076,"Lee, KY",21129,208.86
1077,"Leslie, KY",21131,400.84
1078,"Letcher, KY",21133,337.91
1079,"Lewis, KY",21135,482.84
1080,"Lincoln, KY",21137,334.1
1081,"Livingston, KY",21139,313.13
1082,"Logan, KY",21141,552.13
1083,"Lyon, KY",21143,213.84
1084,"McCracken, KY",21145,248.74
1085,"McCreary, KY",21147,426.8
1086,"McLean, KY",21149,252.47
1087,"Madison, KY",21151,437.29
1088,"Magoffin, KY",21153,308.44
1089,"Marion, KY",21155,343.01
1090,"Marshall, KY",21157,301.25
1091,"Martin, KY",21159,229.61
1092,"Mason, KY",21161,240.13
1093,"Meade, KY",21163,305.42
1094,"Menifee, KY",21165,203.59
1095,"Mercer, KY",21167,248.8
1096,"Metcalfe, KY",21169,289.65
1097,"Monroe, KY",21171,329.37
1098,"Montgomery, KY",21173,197.37
1099,"Morgan, KY",21175,381.13
1100,"Muhlenberg, KY",21177,467.08
1101,"Nelson, KY",21179,417.51
1102,"Nicholas, KY",21181,195.17
1103,"Ohio, KY",21183,587.27
1104,"Oldham, KY",21185,187.22
1105,"Owen, KY",21187,351.1
1106,"Owsley, KY",21189,197.41
1107,"Pendleton, KY",21191,277.16
1108,"Perry, KY",21193,339.67
1109,"Pike, KY",21195,786.83
1110,"Powell, KY",21197,178.98
1111,"Pulaski, KY",21199,658.41
1112,"Robertson, KY",21201,99.91
1113,"Rockcastle, KY",21203,316.55
1114,"Rowan, KY",21205,279.8
1115,"Russell, KY",21207,253.66
1116,"Scott, KY",21209,281.77
1117,"Shelby, KY",21211,379.64
1118,"Simpson, KY",21213,234.2
1119,"Spencer, KY",21215,186.68
1120,"Taylor, KY",21217,266.33
1121,"Todd, KY",21219,374.5
1122,"Trigg, KY",21221,441.43
1123,"Trimble, KY",21223,151.65
1124,"Union, KY",21225,342.85
1125,"Warren, KY",21227,541.6
1126,"Washington, KY",21229,297.27
1127,"Wayne, KY",21231,458.17
1128,"Webster, KY",21233,331.94
1129,"Whitley, KY",21235,437.83
1130,"Wolfe, KY",21237,222.17
1131,"Woodford, KY",21239,188.78
1132,LOUISIANA,22000,43203.9
1133,"Acadia, LA",22001,655.12
1134,"Allen, LA",22003,761.85
1135,"Ascension, LA",22005,289.98
1136,"Assumption, LA",22007,338.66
1137,"Avoyelles, LA",22009,832.43
1138,"Beauregard, LA",22011,1157.34
1139,"Bienville, LA",22013,811.27
1140,"Bossier, LA",22015,840.06
1141,"Caddo, LA",22017,878.54
1142,"Calcasieu, LA",22019,1063.66
1143,"Caldwell, LA",22021,529.43
1144,"Cameron, LA",22023,1284.89
1145,"Catahoula, LA",22025,708.03
1146,"Claiborne, LA",22027,754.88
1147,"Concordia, LA",22029,696.92
1148,"De Soto, LA",22031,875.58
1149,"East Baton Rouge, LA",22033,455.37
1150,"East Carroll, LA",22035,420.7
1151,"East Feliciana, LA",22037,453.41
1152,"Evangeline, LA",22039,662.38
1153,"Franklin, LA",22041,624.59
1154,"Grant, LA",22043,643.03
1155,"Iberia, LA",22045,574.11
1156,"Iberville, LA",22047,618.63
1157,"Jackson, LA",22049,569.18
1158,"Jefferson, LA",22051,295.63
1159,"Jefferson Davis, LA",22053,651.33
1160,"Lafayette, LA",22055,268.72
1161,"Lafourche, LA",22057,1068.21
1162,"La Salle, LA",22059,624.68
1163,"Lincoln, LA",22061,471.74
1164,"Livingston, LA",22063,648.17
1165,"Madison, LA",22065,624.44
1166,"Morehouse, LA",22067,794.93
1167,"Natchitoches, LA",22069,1252.25
1168,"Orleans, LA",22071,169.42
1169,"Ouachita, LA",22073,610.41
1170,"Plaquemines, LA",22075,779.91
1171,"Pointe Coupee, LA",22077,557.35
1172,"Rapides, LA",22079,1317.96
1173,"Red River, LA",22081,389.09
1174,"Richland, LA",22083,559.04
1175,"Sabine, LA",22085,866.66
1176,"St. Bernard, LA",22087,377.52
1177,"St. Charles, LA",22089,279.08
1178,"St. Helena, LA",22091,408.4
1179,"St. James, LA",22093,241.54
1180,"St. John the Baptist, LA",22095,213.07
1181,"St. Landry, LA",22097,923.88
1182,"St. Martin, LA",22099,737.65
1183,"St. Mary, LA",22101,555.38
1184,"St. Tammany, LA",22103,845.55
1185,"Tangipahoa, LA",22105,791.28
1186,"Tensas, LA",22107,602.78
1187,"Terrebonne, LA",22109,1231.82
1188,"Union, LA",22111,876.99
1189,"Vermilion, LA",22113,1173.2
1190,"Vernon, LA",22115,1327.91
1191,"Washington, LA",22117,669.53
1192,"Webster, LA",22119,593.03
1193,"West Baton Rouge, LA",22121,192.39
1194,"West Carroll, LA",22123,359.65
1195,"West Feliciana, LA",22125,403.21
1196,"Winn, LA",22127,950.09
1197,MAINE,23000,30842.92
1198,"Androscoggin, ME",23001,467.93
1199,"Aroostook, ME",23003,6671.33
1200,"Cumberland, ME",23005,835.24
1201,"Franklin, ME",23007,1696.61
1202,"Hancock, ME",23009,1586.89
1203,"Kennebec, ME",23011,867.52
1204,"Knox, ME",23013,365.13
1205,"Lincoln, ME",23015,455.82
1206,"Oxford, ME",23017,2076.84
1207,"Penobscot, ME",23019,3397.36
1208,"Piscataquis, ME",23021,3960.86
1209,"Sagadahoc, ME",23023,253.7
1210,"Somerset, ME",23025,3924.4
1211,"Waldo, ME",23027,729.92
1212,"Washington, ME",23029,2562.66
1213,"York, ME",23031,990.71
1214,MARYLAND,24000,9707.24
1215,"Allegany, MD",24001,424.16
1216,"Anne Arundel, MD",24003,414.9
1217,"Baltimore, MD",24005,598.3
1218,"Calvert, MD",24009,213.15
1219,"Caroline, MD",24011,319.42
1220,"Carroll, MD",24013,447.6
1221,"Cecil, MD",24015,346.27
1222,"Charles, MD",24017,457.75
1223,"Dorchester, MD",24019,540.77
1224,"Frederick, MD",24021,660.22
1225,"Garrett, MD",24023,647.1
1226,"Harford, MD",24025,437.09
1227,"Howard, MD",24027,250.74
1228,"Kent, MD",24029,277.03
1229,"Montgomery, MD",24031,491.25
1230,"Prince George's, MD",24033,482.69
1231,"Queen Anne's, MD",24035,371.91
1232,"St. Mary's, MD",24037,357.18
1233,"Somerset, MD",24039,319.72
1234,"Talbot, MD",24041,268.54
1235,"Washington, MD",24043,457.78
1236,"Wicomico, MD",24045,374.44
1237,"Worcester, MD",24047,468.28
1238,"Baltimore city, MD",24510,80.94
1239,MASSACHUSETTS,25000,7800.06
1240,"Barnstable, MA",25001,393.72
1241,"Berkshire, MA",25003,926.83
1242,"Bristol, MA",25005,553.1
1243,"Dukes, MA",25007,103.25
1244,"Essex, MA",25009,492.56
1245,"Franklin, MA",25011,699.32
1246,"Hampden, MA",25013,617.14
1247,"Hampshire, MA",25015,527.26
1248,"Middlesex, MA",25017,817.82
1249,"Nantucket, MA",25019,44.97
1250,"Norfolk, MA",25021,396.11
1251,"Plymouth, MA",25023,659.08
1252,"Suffolk, MA",25025,58.15
1253,"Worcester, MA",25027,1510.77
1254,MICHIGAN,26000,56538.9
1255,"Alcona, MI",26001,674.59
1256,"Alger, MI",26003,915.07
1257,"Allegan, MI",26005,825.23
1258,"Alpena, MI",26007,571.86
1259,"Antrim, MI",26009,475.7
1260,"Arenac, MI",26011,363.19
1261,"Baraga, MI",26013,898.26
1262,"Barry, MI",26015,553.09
1263,"Bay, MI",26017,442.3
1264,"Benzie, MI",26019,319.7
1265,"Berrien, MI",26021,567.75
1266,"Branch, MI",26023,506.37
1267,"Calhoun, MI",26025,706.23
1268,"Cass, MI",26027,490.06
1269,"Charlevoix, MI",26029,416.34
1270,"Cheboygan, MI",26031,715.26
1271,"Chippewa, MI",26033,1558.42
1272,"Clare, MI",26035,564.32
1273,"Clinton, MI",26037,566.41
1274,"Crawford, MI",26039,556.28
1275,"Delta, MI",26041,1171.1
1276,"Dickinson, MI",26043,761.4
1277,"Eaton, MI",26045,575.18
1278,"Emmet, MI",26047,467.49
1279,"Genesee, MI",26049,636.98
1280,"Gladwin, MI",26051,501.78
1281,"Gogebic, MI",26053,1101.85
1282,"Grand Traverse, MI",26055,464.33
1283,"Gratiot, MI",26057,568.46
1284,"Hillsdale, MI",26059,598.13
1285,"Houghton, MI",26061,1009.1
1286,"Huron, MI",26063,835.71
1287,"Ingham, MI",26065,556.12
1288,"Ionia, MI",26067,571.3
1289,"Iosco, MI",26069,549.1
1290,"Iron, MI",26071,1166.15
1291,"Isabella, MI",26073,572.68
1292,"Jackson, MI",26075,701.67
1293,"Kalamazoo, MI",26077,561.66
1294,"Kalkaska, MI",26079,559.87
1295,"Kent, MI",26081,846.95
1296,"Keweenaw, MI",26083,540.11
1297,"Lake, MI",26085,567.37
1298,"Lapeer, MI",26087,643.01
1299,"Leelanau, MI",26089,347.17
1300,"Lenawee, MI",26091,749.56
1301,"Livingston, MI",26093,565.25
1302,"Luce, MI",26095,899.08
1303,"Mackinac, MI",26097,1021.57
1304,"Macomb, MI",26099,479.22
1305,"Manistee, MI",26101,542.15
1306,"Marquette, MI",26103,1808.4
1307,"Mason, MI",26105,495.07
1308,"Mecosta, MI",26107,555.07
1309,"Menominee, MI",26109,1044.08
1310,"Midland, MI",26111,516.25
1311,"Missaukee, MI",26113,564.73
1312,"Monroe, MI",26115,549.39
1313,"Montcalm, MI",26117,705.4
1314,"Montmorency, MI",26119,546.66
1315,"Muskegon, MI",26121,499.25
1316,"Newaygo, MI",26123,813.2
1317,"Oakland, MI",26125,867.66
1318,"Oceana, MI",26127,512.07
1319,"Ogemaw, MI",26129,563.49
1320,"Ontonagon, MI",26131,1311.23
1321,"Osceola, MI",26133,566.39
1322,"Oscoda, MI",26135,565.73
1323,"Otsego, MI",26137,514.97
1324,"Ottawa, MI",26139,563.47
1325,"Presque Isle, MI",26141,658.72
1326,"Roscommon, MI",26143,519.64
1327,"Saginaw, MI",26145,800.11
1328,"St. Clair, MI",26147,721.17
1329,"St. Joseph, MI",26149,500.59
1330,"Sanilac, MI",26151,962.57
1331,"Schoolcraft, MI",26153,1171.36
1332,"Shiawassee, MI",26155,530.67
1333,"Tuscola, MI",26157,803.13
1334,"Van Buren, MI",26159,607.47
1335,"Washtenaw, MI",26161,705.97
1336,"Wayne, MI",26163,612.08
1337,"Wexford, MI",26165,565.0
1338,MINNESOTA,27000,79626.74
1339,"Aitkin, MN",27001,1821.66
1340,"Anoka, MN",27003,423.01
1341,"Becker, MN",27005,1315.2
1342,"Beltrami, MN",27007,2504.94
1343,"Benton, MN",27009,408.3
1344,"Big Stone, MN",27011,499.02
1345,"Blue Earth, MN",27013,747.84
1346,"Brown, MN",27015,611.09
1347,"Carlton, MN",27017,861.38
1348,"Carver, MN",27019,354.33
1349,"Cass, MN",27021,2021.54
1350,"Chippewa, MN",27023,581.12
1351,"Chisago, MN",27025,414.86
1352,"Clay, MN",27027,1045.37
1353,"Clearwater, MN",27029,998.94
1354,"Cook, MN",27031,1452.28
1355,"Cottonwood, MN",27033,638.61
1356,"Crow Wing, MN",27035,999.1
1357,"Dakota, MN",27037,562.17
1358,"Dodge, MN",27039,439.28
1359,"Douglas, MN",27041,637.3
1360,"Faribault, MN",27043,712.48
1361,"Fillmore, MN",27045,861.3
1362,"Freeborn, MN",27047,707.09
1363,"Goodhue, MN",27049,756.84
1364,"Grant, MN",27051,548.16
1365,"Hennepin, MN",27053,553.59
1366,"Houston, MN",27055,552.06
1367,"Hubbard, MN",27057,925.68
1368,"Isanti, MN",27059,435.79
1369,"Itasca, MN",27061,2667.72
1370,"Jackson, MN",27063,702.98
1371,"Kanabec, MN",27065,521.59
1372,"Kandiyohi, MN",27067,796.79
1373,"Kittson, MN",27069,1098.8
1374,"Koochiching, MN",27071,3104.07
1375,"Lac qui Parle, MN",27073,765.02
1376,"Lake, MN",27075,2109.29
1377,"Lake of the Woods, MN",27077,1297.87
1378,"Le Sueur, MN",27079,448.76
1379,"Lincoln, MN",27081,536.76
1380,"Lyon, MN",27083,714.56
1381,"McLeod, MN",27085,491.47
1382,"Mahnomen, MN",27087,557.88
1383,"Marshall, MN",27089,1775.07
1384,"Martin, MN",27091,712.35
1385,"Meeker, MN",27093,608.18
1386,"Mille Lacs, MN",27095,572.31
1387,"Morrison, MN",27097,1125.06
1388,"Mower, MN",27099,711.33
1389,"Murray, MN",27101,704.7
1390,"Nicollet, MN",27103,448.49
1391,"Nobles, MN",27105,715.11
1392,"Norman, MN",27107,872.79
1393,"Olmsted, MN",27109,653.35
1394,"Otter Tail, MN",27111,1972.07
1395,"Pennington, MN",27113,616.57
1396,"Pine, MN",27115,1411.29
1397,"Pipestone, MN",27117,465.06
1398,"Polk, MN",27119,1971.13
1399,"Pope, MN",27121,669.71
1400,"Ramsey, MN",27123,152.21
1401,"Red Lake, MN",27125,432.41
1402,"Redwood, MN",27127,878.57
1403,"Renville, MN",27129,982.91
1404,"Rice, MN",27131,495.68
1405,"Rock, MN",27133,482.46
1406,"Roseau, MN",27135,1671.6
1407,"St. Louis, MN",27137,6247.4
1408,"Scott, MN",27139,356.48
1409,"Sherburne, MN",27141,432.92
1410,"Sibley, MN",27143,588.78
1411,"Stearns, MN",27145,1343.13
1412,"Steele, MN",27147,429.65
1413,"Stevens, MN",27149,563.6
1414,"Swift, MN",27151,742.08
1415,"Todd, MN",27153,944.98
1416,"Traverse, MN",27155,573.9
1417,"Wabasha, MN",27157,522.98
1418,"Wadena, MN",27159,536.27
1419,"Waseca, MN",27161,423.36
1420,"Washington, MN",27163,384.28
1421,"Watonwan, MN",27165,434.95
1422,"Wilkin, MN",27167,750.96
1423,"Winona, MN",27169,626.21
1424,"Wright, MN",27171,661.46
1425,"Yellow Medicine, MN",27173,759.1
1426,MISSISSIPPI,28000,46923.27
1427,"Adams, MS",28001,462.41
1428,"Alcorn, MS",28003,400.04
1429,"Amite, MS",28005,730.1
1430,"Attala, MS",28007,734.98
1431,"Benton, MS",28009,406.62
1432,"Bolivar, MS",28011,876.57
1433,"Calhoun, MS",28013,586.57
1434,"Carroll, MS",28015,628.24
1435,"Chickasaw, MS",28017,501.78
1436,"Choctaw, MS",28019,418.18
1437,"Claiborne, MS",28021,487.41
1438,"Clarke, MS",28023,691.55
1439,"Clay, MS",28025,410.08
1440,"Coahoma, MS",28027,552.44
1441,"Copiah, MS",28029,777.24
1442,"Covington, MS",28031,413.79
1443,"DeSoto, MS",28033,476.15
1444,"Forrest, MS",28035,466.31
1445,"Franklin, MS",28037,563.78
1446,"George, MS",28039,478.71
1447,"Greene, MS",28041,712.76
1448,"Grenada, MS",28043,422.11
1449,"Hancock, MS",28045,473.75
1450,"Harrison, MS",28047,573.99
1451,"Hinds, MS",28049,869.74
1452,"Holmes, MS",28051,756.7
1453,"Humphreys, MS",28053,418.49
1454,"Issaquena, MS",28055,413.05
1455,"Itawamba, MS",28057,532.79
1456,"Jackson, MS",28059,722.75
1457,"Jasper, MS",28061,676.24
1458,"Jefferson, MS",28063,519.93
1459,"Jefferson Davis, MS",28065,408.44
1460,"Jones, MS",28067,694.8
1461,"Kemper, MS",28069,766.18
1462,"Lafayette, MS",28071,631.71
1463,"Lamar, MS",28073,497.06
1464,"Lauderdale, MS",28075,703.63
1465,"Lawrence, MS",28077,430.67
1466,"Leake, MS",28079,583.0
1467,"Lee, MS",28081,449.95
1468,"Leflore, MS",28083,592.54
1469,"Lincoln, MS",28085,586.12
1470,"Lowndes, MS",28087,505.51
1471,"Madison, MS",28089,714.51
1472,"Marion, MS",28091,542.38
1473,"Marshall, MS",28093,706.19
1474,"Monroe, MS",28095,765.09
1475,"Montgomery, MS",28097,406.98
1476,"Neshoba, MS",28099,570.14
1477,"Newton, MS",28101,578.1
1478,"Noxubee, MS",28103,695.14
1479,"Oktibbeha, MS",28105,458.2
1480,"Panola, MS",28107,685.14
1481,"Pearl River, MS",28109,810.86
1482,"Perry, MS",28111,647.25
1483,"Pike, MS",28113,409.02
1484,"Pontotoc, MS",28115,497.69
1485,"Prentiss, MS",28117,414.98
1486,"Quitman, MS",28119,405.01
1487,"Rankin, MS",28121,775.49
1488,"Scott, MS",28123,609.19
1489,"Sharkey, MS",28125,431.72
1490,"Simpson, MS",28127,589.16
1491,"Smith, MS",28129,636.25
1492,"Stone, MS",28131,445.49
1493,"Sunflower, MS",28133,697.75
1494,"Tallahatchie, MS",28135,645.29
