,Areaname,STCOU,LND110210D
168,"Perry, AR",5105,551.4
169,"Phillips, AR",5107,695.66
170,"Pike, AR",5109,600.62
171,"Poinsett, AR",5111,758.39
172,"Polk, AR",5113,857.68
173,"Pope, AR",5115,812.55
174,"Prairie, AR",5117,647.96
175,"Pulaski, AR",5119,759.76
176,"Randolph, AR",5121,652.19
177,"St. Francis, AR",5123,634.77
178,"Saline, AR",5125,723.6
179,"Scott, AR",5127,892.32
180,"Searcy, AR",5129,666.1
181,"Sebastian, AR",5131,531.91
182,"Sevier, AR",5133,565.13
183,"Sharp, AR",5135,604.44
184,"Stone, AR",5137,606.41
185,"Union, AR",5139,1039.21
186,"Van Buren, AR",5141,708.14
187,"Washington, AR",5143,941.97
188,"White, AR",5145,1035.08
189,"Woodruff, AR",5147,586.79
190,"Yell, AR",5149,929.98
191,CALIFORNIA,6000,155779.22
192,"Alameda, CA",6001,739.02
193,"Alpine, CA",6003,738.33
194,"Amador, CA",6005,594.58
195,"Butte, CA",6007,1636.46
196,"Calaveras, CA",6009,1020.01
197,"Colusa, CA",6011,1150.73
198,"Contra Costa, CA",6013,715.94
199,"Del Norte, CA",6015,1006.37
200,"El Dorado, CA",6017,1707.88
201,"Fresno, CA",6019,5957.99
202,"Glenn, CA",6021,1313.95
203,"Humboldt, CA",6023,3567.99
204,"Imperial, CA",6025,4176.6
205,"Inyo, CA",6027,10180.88
206,"Kern, CA",6029,8131.92
207,"Kings, CA",6031,1389.42
208,"Lake, CA",6033,1256.46
209,"Lassen, CA",6035,4541.18
210,"Los Angeles, CA",6037,4057.88
211,"Madera, CA",6039,2137.07
212,"Marin, CA",6041,520.31
213,"Mariposa, CA",6043,1448.82
214,"Mendocino, CA",6045,3506.34
215,"Merced, CA",6047,1934.97
216,"Modoc, CA",6049,3917.77
217,"Mono, CA",6051,3048.98
218,"Monterey, CA",6053,3280.6
219,"Napa, CA",6055,748.36
220,"Nevada, CA",6057,957.77
221,"Orange, CA",6059,790.57
222,"Placer, CA",6061,1407.01
223,"Plumas, CA",6063,2553.04
224,"Riverside, CA",6065,7206.48
225,"Sacramento, CA",6067,964.64
226,"San Benito, CA",6069,1388.71
227,"San Bernardino, CA",6071,20056.94
228,"San Diego, CA",6073,4206.63
229,"San Francisco, CA",6075,46.87
230,"San Joaquin, CA",6077,1391.32
231,"San Luis Obispo, CA",6079,3298.57
232,"San Mateo, CA",6081,448.41
233,"Santa Barbara, CA",6083,2735.09
234,"Santa Clara, CA",6085,1290.1
235,"Santa Cruz, CA",6087,445.17
236,"Shasta, CA",6089,3775.4
237,"Sierra, CA",6091,953.21
238,"Siskiyou, CA",6093,6277.89
239,"Solano, CA",6095,821.77
240,"Sonoma, CA",6097,1575.85
241,"Stanislaus, CA",6099,1494.83
242,"Sutter, CA",6101,602.41
243,"Tehama, CA",6103,2949.71
244,"Trinity, CA",6105,3179.25
245,"Tulare, CA",6107,4824.22
246,"Tuolumne, CA",6109,2220.88
247,"Ventura, CA",6111,1843.13
248,"Yolo, CA",6113,1014.69
249,"Yuba, CA",6115,631.84
250,COLORADO,8000,103641.89
251,"Adams, CO",8001,1167.65
252,"Alamosa, CO",8003,722.64
253,"Arapahoe, CO",8005,798.1
254,"Archuleta, CO",8007,1350.18
255,"Baca, CO",8009,2554.97
256,"Bent, CO",8011,1512.86
